episode,avg_test_hit,phase1_hit,phase2_hit,avg_ndcg,train_loss
5000,0.05853448275862069,0.07172413793103448,0.0453448275862069,0.1032666235627136,0.8267004489898682
10000,0.0988793103448276,0.12103448275862069,0.07672413793103448,0.1432909100498278,0.31469467282295227
15000,0.21793103448275863,0.3510344827586207,0.08482758620689654,0.2876468678580762,0.30362799763679504
20000,0.37525862068965515,0.4524137931034483,0.2981034482758621,0.41305646439130184,0.47271692752838135
25000,0.3871551724137931,0.45103448275862074,0.3232758620689655,0.4184578835507315,0.6596949696540833
30000,0.37913793103448273,0.4543103448275862,0.3039655172413793,0.41461980385607655,0.7564915418624878
35000,0.4138793103448276,0.4703448275862068,0.3574137931034483,0.44220111690464625,0.81429123878479
40000,0.405948275862069,0.4477586206896553,0.3641379310344828,0.43124736334035896,0.8997247219085693
45000,0.39655172413793105,0.45965517241379306,0.333448275862069,0.42757629011946674,0.9856487512588501
50000,0.4081896551724138,0.4531034482758621,0.36327586206896556,0.42495368483057244,1.0637401342391968
55000,0.4047413793103448,0.4613793103448276,0.3481034482758621,0.4318311070068146,1.0943020582199097
60000,0.4156034482758621,0.47896551724137926,0.3522413793103448,0.4416499793414661,1.1581523418426514
65000,0.4097413793103448,0.45379310344827595,0.3656896551724138,0.43380151502062,1.1903703212738037
70000,0.4305172413793103,0.4706896551724138,0.3903448275862069,0.4514714740480609,1.2868237495422363
75000,0.43482758620689654,0.4889655172413794,0.3806896551724138,0.45870441077770435,1.3400452136993408
80000,0.42172413793103447,0.4708620689655173,0.3725862068965517,0.44540107565099524,1.3732606172561646
85000,0.4254310344827586,0.4982758620689655,0.35258620689655173,0.4531985763913103,1.3986300230026245
90000,0.4228448275862069,0.47827586206896555,0.3674137931034483,0.44696693615715344,1.3216372728347778
95000,0.42767241379310345,0.48413793103448277,0.3712068965517242,0.45332036908224166,1.438765048980713
100000,0.3989655172413793,0.44396551724137934,0.3539655172413793,0.4252335972619833,1.4821994304656982
105000,0.4343103448275862,0.49224137931034484,0.37637931034482763,0.4585121221871023,1.5294431447982788
110000,0.44112068965517237,0.4970689655172414,0.3851724137931035,0.46513436068135056,1.5499638319015503
115000,0.4408620689655172,0.496896551724138,0.38482758620689655,0.464615459859626,1.572361707687378
120000,0.42853448275862066,0.46965517241379307,0.38741379310344826,0.4507841741001961,1.5530927181243896
125000,0.43715517241379315,0.493448275862069,0.3808620689655172,0.46011083531129204,1.542225956916809
130000,0.4330172413793103,0.4774137931034482,0.38862068965517244,0.4547096461850689,1.5999772548675537
135000,0.4392241379310345,0.47896551724137926,0.39948275862068966,0.4589579844745844,1.5946396589279175
140000,0.439396551724138,0.49051724137931035,0.3882758620689655,0.4626833563099414,1.6137322187423706
145000,0.43887931034482763,0.48655172413793113,0.3912068965517242,0.46105765212562716,1.6439614295959473
150000,0.4462931034482759,0.486551724137931,0.4060344827586207,0.4659484334969422,1.6923389434814453
155000,0.45336206896551723,0.5027586206896553,0.40396551724137936,0.4738833332907757,1.700977087020874
160000,0.4379310344827586,0.4908620689655172,0.385,0.4597580027764045,1.7478867769241333
165000,0.43862068965517237,0.4798275862068966,0.39741379310344827,0.45822659853488695,1.6919587850570679
170000,0.42758620689655175,0.4687931034482759,0.38637931034482764,0.4500225100759413,1.672950029373169
175000,0.45008620689655177,0.49137931034482757,0.40879310344827585,0.46888788247137325,1.7150778770446777
180000,0.44560344827586207,0.4901724137931034,0.4010344827586207,0.4670893905182419,1.752561330795288
185000,0.4460344827586207,0.48741379310344835,0.4046551724137931,0.4657530988325447,1.7755014896392822
190000,0.4455172413793103,0.4939655172413793,0.3970689655172414,0.4671861611307204,1.7573143243789673
195000,0.461551724137931,0.5113793103448276,0.41172413793103446,0.48146174920175483,1.8131452798843384
200000,0.4611206896551724,0.5158620689655172,0.40637931034482755,0.4806274485300286,1.8029165267944336
205000,0.45017241379310347,0.49586206896551727,0.4044827586206897,0.4697598774221626,1.8502795696258545
210000,0.45517241379310347,0.49620689655172423,0.41413793103448276,0.4736632317112933,1.8677104711532593
215000,0.43896551724137933,0.4827586206896552,0.39517241379310347,0.46074477098929867,1.9062737226486206
220000,0.4478448275862069,0.49793103448275866,0.3977586206896552,0.469066517308182,1.8646783828735352
225000,0.4519827586206896,0.49879310344827577,0.4051724137931034,0.4725581737571957,1.9165849685668945
230000,0.4603448275862069,0.5110344827586206,0.4096551724137931,0.4803145670342311,1.8647772073745728
235000,0.44974137931034486,0.4929310344827586,0.40655172413793106,0.46823183345792085,1.9340139627456665
240000,0.46206896551724136,0.5089655172413793,0.4151724137931035,0.4803484113775804,1.887540340423584
245000,0.45689655172413796,0.49793103448275866,0.4158620689655172,0.4738831153706624,1.9674468040466309
250000,0.45594827586206893,0.5032758620689655,0.4086206896551724,0.47076257727511084,1.886995792388916
255000,0.45051724137931026,0.4991379310344828,0.4018965517241379,0.4705190285105036,1.8437511920928955
260000,0.4601724137931034,0.5063793103448276,0.41396551724137937,0.47897035887639305,1.8719470500946045
265000,0.45887931034482754,0.5053448275862069,0.4124137931034483,0.4779819396267338,1.9166374206542969
270000,0.46801724137931044,0.5094827586206897,0.426551724137931,0.4844657300431489,1.9740427732467651
275000,0.4587068965517241,0.4915517241379311,0.4258620689655172,0.474734050264786,1.9499690532684326
280000,0.4674137931034483,0.5006896551724137,0.4341379310344828,0.48228550306881673,1.981312870979309
285000,0.4724137931034483,0.5175862068965518,0.4272413793103448,0.48830937192195145,2.017610788345337
290000,0.4657758620689655,0.501551724137931,0.43,0.48150899039309536,1.9317281246185303
295000,0.4623275862068965,0.49862068965517237,0.42603448275862066,0.4789486753089652,2.0153393745422363
300000,0.4636206896551724,0.4998275862068965,0.4274137931034483,0.47854482115717867,1.9398384094238281
305000,0.4443103448275863,0.48758620689655163,0.4010344827586207,0.4635585668725896,1.9787101745605469
310000,0.4613793103448276,0.498103448275862,0.4246551724137931,0.47740100536379726,1.9378224611282349
315000,0.4599999999999999,0.5062068965517241,0.41379310344827586,0.4782844287051893,1.941247582435608
320000,0.4598275862068965,0.505,0.4146551724137931,0.4778075817847541,1.9629963636398315
325000,0.4591379310344828,0.5005172413793103,0.4177586206896552,0.4764873662705387,2.033883571624756
330000,0.45948275862068966,0.496551724137931,0.4224137931034483,0.4757351061438246,1.9695112705230713
335000,0.46379310344827585,0.49965517241379315,0.4279310344827586,0.48057623051314474,1.9319521188735962
340000,0.47034482758620694,0.5046551724137931,0.43603448275862067,0.485802425174704,1.9769608974456787
345000,0.45163793103448274,0.48948275862068963,0.41379310344827586,0.47109359917702176,1.9861019849777222
350000,0.4742241379310344,0.5160344827586206,0.43241379310344824,0.4900766151607675,1.941540002822876
355000,0.4583620689655173,0.49931034482758624,0.4174137931034483,0.47617557127133653,1.9498273134231567
360000,0.4568103448275862,0.5037931034482759,0.4098275862068966,0.476185510632763,1.9657124280929565
365000,0.45672413793103456,0.49775862068965526,0.41568965517241385,0.47484530766213584,1.9984112977981567
370000,0.4624137931034484,0.5051724137931034,0.41965517241379313,0.4803039042993587,1.9956809282302856
375000,0.45543103448275857,0.5062068965517241,0.4046551724137931,0.4758548550107384,1.9988974332809448
380000,0.4668103448275862,0.5024137931034484,0.4312068965517241,0.4819555206765058,2.0106959342956543
385000,0.4681896551724138,0.5053448275862069,0.4310344827586207,0.4842557047487207,1.9961321353912354
390000,0.4672413793103448,0.506551724137931,0.4279310344827586,0.48386872150963056,1.9922008514404297
395000,0.4699137931034483,0.5094827586206897,0.43034482758620685,0.4860466183206107,2.0345993041992188
400000,0.4644827586206896,0.4991379310344828,0.42982758620689654,0.48071934849594283,2.007166862487793
405000,0.4698275862068966,0.5186206896551724,0.42103448275862065,0.48795650823737113,1.993394136428833
410000,0.4627586206896551,0.49620689655172423,0.42931034482758623,0.4789886631597481,2.003310441970825
415000,0.47336206896551725,0.5198275862068965,0.4268965517241379,0.49060936686694306,2.066314458847046
420000,0.46439655172413796,0.502241379310345,0.4265517241379311,0.48166147758238415,2.0633840560913086
425000,0.4785344827586206,0.5174137931034483,0.4396551724137931,0.4932435614028853,2.0479543209075928
430000,0.47060344827586204,0.5129310344827587,0.42827586206896545,0.4871206000689489,2.0455565452575684
435000,0.46775862068965507,0.5018965517241378,0.4336206896551724,0.4824898356121286,2.1325113773345947
440000,0.4711206896551724,0.5012068965517242,0.4410344827586207,0.4845028308456853,2.07731294631958
445000,0.48267241379310344,0.5106896551724138,0.4546551724137931,0.4929105057504048,2.07110857963562
450000,0.4772413793103448,0.5160344827586207,0.43844827586206897,0.4926168574954269,2.0008044242858887
455000,0.4485344827586206,0.4896551724137931,0.4074137931034483,0.4663729575829385,2.085855484008789
460000,0.4724999999999999,0.5087931034482759,0.4362068965517241,0.4879813356440787,2.040637969970703
465000,0.4760344827586207,0.5131034482758621,0.43896551724137933,0.49128485554414497,2.0428617000579834
470000,0.4748275862068965,0.5122413793103449,0.4374137931034483,0.4899647399106715,2.0808703899383545
475000,0.47663793103448276,0.5122413793103449,0.4410344827586207,0.4915192446322897,2.082502841949463
480000,0.4583620689655172,0.48862068965517236,0.42810344827586205,0.4757641761083899,2.037409782409668
485000,0.47000000000000003,0.5032758620689655,0.43672413793103443,0.4856646756672349,2.0211539268493652
490000,0.4768103448275862,0.5156896551724137,0.4379310344827586,0.4914528863966331,2.105112314224243
495000,0.4751724137931035,0.506896551724138,0.44344827586206903,0.4888341981977974,2.097362756729126
500000,0.47672413793103446,0.5131034482758621,0.44034482758620686,0.49156235001449505,2.1572458744049072
